audio_path,reference,prediction,cer
radio_2/f/a1/e2d035ea7f30.opus,еревод на частный счет вы дальше потом не можете потом никак контролировать то есть что там с ними случится с этими деньгами способами контроля над их расходованием у вас нет если у вас целевое пожертвование в благот,иот на частный счетвы дальше потом не можете нкак контролировать то есть что там с ними случатс этим неами способа контроля на их раходование у вас нет если у вас целевоя пожертвааний уг,0.11442786069651745
radio_2/e/23/eb78a1eed3af.opus,арламентское большинство и избрать своего человека президентом но мы же этого не делаем мне кажется я знаю в чем проблема да проблема в том кто будет руководить этой демократической партией так,паметский бышество избрать своегокандидатом сро тека президента но мы же этого не делаем мне кажется я знаю в чем проблема проблема в том кто будет руководить это демократической партии,0.13227513227513232
radio_2/6/00/ca304afc64eb.opus,этой заполошной захаровой и всем остальным им только дай какую нибудь тему чтобы завопить когда они вопят о том что оскорблена россия они повышают свой статус н болтянская,это заположные захаровые всем остальным имтолькоа какоюну тему чтобы звопить когда они в опят о том что оскрблена россия они повушают свой статус в чих глазах,0.1550151975683891
radio_2/a/58/5f908f829af3.opus,сложную вещь которую в течение двадцать лет со времен клинтона один* тысяча* девятьсот девяносто два* года его программы вот они сейчас ее в антикризисный пакет,слжную вещь который в течение двадцать лет современ клинтана дяннасть  года его программы хко рефор вот они сейчас ее в нтикрисный пакет,0.18918918918918914
radio_2/0/da/e06e72409c5b.opus,ртости это абсолютно австрийский пулеметчик прикованный да все он уже оттуда никуда он сам себя приковал и ему в каком то смысле поздно из кремля он понимает что из кремля его поведут в прокуратуру это, но дает сшат австриски пулеметчед прикованны все он уже оттуда никуда он сам сбя приковал ему в каком то смысле поздно ис кремля он понимает что из кремля его повидлат прокуратур,0.12631578947368416
radio_2/4/1d/7cad17011afb.opus,рен произошла и с книжкой маркина брежнев в конце концов чего тут стеснятся брежнев тоже не сам свою трилогию писал а тем не менее изучали ее во всех шко,о произошла и книжкой маркинымнает брежнекнце конце чего тут стесняться брежнев тоже не сам своютрилоги писал а тем не менее изучали ю во всех,0.09830508474576272
radio_2/4/b4/2cfbd0a8672c.opus,т км от москвы и начинается тот же самый мрак жить здесь в розовом гетто ограниченном мкадом,елометров от москвы и начинается тот же самый мракжить здесь б розовом гето ограничным мкадам,0.11351351351351346
radio_2/0/b7/c20a0cf67b5e.opus,я должна влечь за собой отмену результатов выборов на участке бывают конечно ошибки но это в основном видно в судебном разбирательстве когда это нечаянно ошибка,должна везясбойез н выбраны учаски былаит конечно ошибки поэтогу знаво виднов судебном разбирательства когда это нечайно описка ошибка,0.24489795918367352
radio_2/2/b3/40c0ae81088f.opus,ут а я хочу остаться значит я останусь а здесь же предлагается что колхоз коллективное решение татьяна троянская,а я хочу остаться начт я останусь а ень же предлагается что колхосколлективное решене  естьппосбокак заставить человека,0.20346320346320346
radio_2/9/ec/929e68a86bd6.opus,ие бывшие президенты и премьеры европейские оказываются привлеченными к уголовной ответственности осуждены не осуждены доказывают свою невиновность но они все знают что,бывшие президент премьеры европейские оказываются прлюченные уголовной ответственности осужденные не осужден не доказывают свю невиноность они все знают,0.09375
radio_2/c/88/6d3a80e1b169.opus,усить не очень понятно с какой целью ведь в конце концов могут поставить автоответчик да автоговорильню и будут информировать обо всем,усить не очень понятно с какой цельеветь в конце концов могут поставить автответчикговориню  будут информировать и по всем,0.0859375
radio_2/1/ba/5f7cfe2a6a15.opus,са у них нет политического представительства вот русские либералы русские западники если хотите хотя теперь это уже не полностью совпадающие множества,о у них нет политического представительство  от русские либералы уские западники сли хотите хотя это теперь это ужене не полностью совпадающие множества,0.052980132450331174
radio_2/c/46/4be8731bc516.opus,еще списал талантливо найти не всегда можно и не всегда силы просто на то чтобы найти плагиат нужны трудозатраты и одно дело искать плагиат в докторских,еще списал таланклевна не всегда можно не седасилы рос на то чтобы найти плогет нужнон трт затраты и одну делоы сказать по,0.1970802919708029
radio_2/6/dd/6158bbc8afcc.opus,ософт будет ли этому какое то развитие сейчас москва сказала что мы ни при чем в очередной раз придаст ли это какой то новый импульс санкционной,пунятлик будет ли этому какой то разви сейчас москва сказал мы нпричем почередно ра н придастли это я не зна какой то новый им пульц сакционный,0.16376306620209058
radio_2/f/df/7055082ade21.opus,ч яблок ну минус четыре потому что не везде же семья митрохина ну хорошо где то двенадцать но может быть есть родственники мельникова, яблок менускоктам четыре потому что не вездеже семьяметройна ну хорошуним в глов где то двенадцать ноош может быть естьь радственники мельникова,0.12230215827338131
radio_2/5/ed/31f021e91c18.opus,происходило и по моему до сих пор происходит тридцать один* го числа понятно там несколько сотен человек аресты вязы и все это крайне неаппетитно,происходил и поом до сих пор происходит тридцать одинго числа понятно там неск сотинн человек ресты вязы все это крайне не апетидно,0.08695652173913049
